detector,descriptor,keypoints,detector-duration,descriptor-duration,matches
orb,brisk,500,3.52993,0.580986,82
orb,brisk,500,7.70943,0.570177,93
orb,brisk,500,3.15763,0.611642,95
orb,brisk,500,2.88686,0.61517,103
orb,brisk,500,2.90054,0.664459,101
orb,brisk,500,3.09911,0.679453,115
orb,brisk,500,3.02168,0.674871,119
orb,brisk,500,4.0452,0.687643,118
orb,brisk,500,4.60726,0.659734,116
fast,freak,4952,0.860937,18.8664,420
fast,freak,4863,4.02491,21.8549,431
fast,freak,4840,2.4104,15.9715,408
fast,freak,4856,17.4298,13.589,430
fast,freak,4899,1.89463,14.5928,389
fast,freak,4870,3.26246,24.9571,417
fast,freak,4868,2.32534,15.4286,422
fast,freak,4996,2.39151,14.9431,413
fast,freak,4997,3.2076,22.6045,401
shitomasi,orb,1301,6.41172,0.558765,127
shitomasi,orb,1361,12.2521,0.809858,119
shitomasi,orb,1358,10.3299,0.874157,123
shitomasi,orb,1333,13.3601,0.57195,120
shitomasi,orb,1284,9.18131,0.788872,119
shitomasi,orb,1322,11.0332,0.586981,115
shitomasi,orb,1366,7.63368,0.498791,114
shitomasi,orb,1389,12.4152,0.856034,124
shitomasi,orb,1339,12.9334,0.821409,112
sift,brisk,1371,86.9237,0.881219,136
sift,brisk,1381,79.3383,0.716297,131
sift,brisk,1335,76.5203,0.742615,121
sift,brisk,1303,72.5306,0.766554,135
sift,brisk,1369,69.6195,0.729477,134
sift,brisk,1396,67.2928,1.07837,139
sift,brisk,1382,70.5999,0.797956,136
sift,brisk,1462,77.2947,0.837817,147
sift,brisk,1422,75.7502,1.11651,156
brisk,brisk,2777,18.8029,2.83867,254
brisk,brisk,2741,18.6152,1.28659,274
brisk,brisk,2735,17.7354,1.33923,276
brisk,brisk,2757,18.0114,1.36804,275
brisk,brisk,2695,18.2913,1.3493,293
brisk,brisk,2715,17.9299,1.38047,275
brisk,brisk,2628,17.4389,1.29084,289
brisk,brisk,2639,18.0773,1.25757,268
brisk,brisk,2672,17.8649,1.33533,260
fast,orb,4952,0.887388,0.924014,420
fast,orb,4863,1.97747,1.30319,431
fast,orb,4840,2.14856,1.71903,408
fast,orb,4856,2.27096,1.42221,430
fast,orb,4899,2.67266,2.02235,389
fast,orb,4870,2.44806,1.43762,417
fast,orb,4868,2.20684,1.37614,422
fast,orb,4996,2.38574,1.43516,413
fast,orb,4997,2.24493,1.71666,401
harris,freak,286,9.37717,12.0523,51
harris,freak,349,11.8834,12.5328,41
harris,freak,356,10.3465,11.8227,63
harris,freak,521,10.9264,11.9218,58
harris,freak,2611,33.7368,12.7321,85
harris,freak,200,5.01189,11.7073,322
harris,freak,806,10.277,12.0516,38
harris,freak,572,8.96137,11.8888,136
harris,freak,1471,17.6948,12.1186,96
harris,brisk,286,6.4167,0.372449,51
harris,brisk,349,12.1921,0.469621,41
harris,brisk,356,10.2833,0.462188,63
harris,brisk,521,9.60731,0.52822,58
harris,brisk,2611,43.6616,1.46595,85
harris,brisk,200,9.41957,0.383385,322
harris,brisk,806,16.024,0.731346,38
harris,brisk,572,10.8654,0.564933,136
harris,brisk,1471,15.8916,0.963325,96
fast,brief,4952,0.944206,0.987915,420
fast,brief,4863,1.2728,1.65738,431
fast,brief,4840,2.39102,1.46295,408
fast,brief,4856,2.41836,1.28256,430
fast,brief,4899,2.27953,1.35583,389
fast,brief,4870,1.93957,1.17742,417
fast,brief,4868,2.21796,1.19655,422
fast,brief,4996,2.43695,1.22575,413
fast,brief,4997,2.53742,1.26295,401
shitomasi,sift,1301,7.04629,9.08989,127
shitomasi,sift,1361,9.68239,9.96984,120
shitomasi,sift,1358,9.10259,9.0317,123
shitomasi,sift,1333,11.5407,8.38786,120
shitomasi,sift,1284,11.4821,10.288,120
shitomasi,sift,1322,9.60798,10.74,115
shitomasi,sift,1366,6.48247,10.7326,114
shitomasi,sift,1389,12.118,10.5603,125
shitomasi,sift,1339,12.0752,12.2039,112
brisk,orb,2777,23.0907,2.30769,254
brisk,orb,2741,18.7675,3.23238,274
brisk,orb,2735,17.9261,2.81159,276
brisk,orb,2757,18.3704,2.68498,275
brisk,orb,2695,18.5396,2.69958,293
brisk,orb,2715,17.6171,2.74883,275
brisk,orb,2628,17.9962,2.6988,289
brisk,orb,2639,18.2496,2.75793,268
brisk,orb,2672,17.4199,1.9408,260
orb,orb,500,8.66232,6.89901,91
orb,orb,500,5.77894,2.05087,102
orb,orb,500,6.49767,2.3893,106
orb,orb,500,5.59859,5.48439,113
orb,orb,500,4.24629,2.17879,109
orb,orb,500,3.39427,2.03,124
orb,orb,500,9.24894,6.08922,129
orb,orb,500,6.41221,2.35641,127
orb,orb,500,5.98033,2.31186,124
shitomasi,brief,1301,8.72767,0.259641,126
shitomasi,brief,1361,18.3258,0.309551,118
shitomasi,brief,1358,9.51177,0.501424,123
shitomasi,brief,1333,11.7099,0.258537,118
shitomasi,brief,1284,7.13172,0.500227,119
shitomasi,brief,1322,11.7927,0.293206,115
shitomasi,brief,1366,13.2153,0.386975,111
shitomasi,brief,1389,8.38831,0.227478,123
